Age,Department,JobRole,YearsAtCompany,YearsSinceLastPromotion,PromotionGapRatio,RoleStagnationIndex,CareerPathSegment,PromotionGapRiskScore,JobSatisfaction,EnvironmentSatisfaction
30,Human Resources,Human Resources,11,4,0.36363636363636365,0.8181818181818182,High-Risk Stagnation Profile,High,4,3
45,Research & Development,Research Scientist,6,0,0.0,0.8333333333333334,Fast-Track Performers,Medium,4,3
38,Research & Development,Research Scientist,3,2,0.6666666666666666,0.6666666666666666,Promotion-Stalled Employees,High,3,4
32,Sales,Sales Executive,8,0,0.0,0.875,High-Risk Stagnation Profile,High,4,4
29,Research & Development,Manufacturing Director,10,0,0.0,0.7,High-Risk Stagnation Profile,High,3,4
40,Sales,Sales Executive,12,2,0.16666666666666666,0.9166666666666666,High-Risk Stagnation Profile,High,4,3
34,Sales,Sales Representative,4,1,0.25,0.75,Fast-Track Performers,Medium,3,3
22,Research & Development,Research Scientist,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,3
27,Research & Development,Research Scientist,1,0,0.0,1.0,Fast-Track Performers,Medium,3,3
32,Research & Development,Research Scientist,5,1,0.2,0.8,Fast-Track Performers,Medium,3,3
38,Research & Development,Laboratory Technician,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,3
31,Research & Development,Research Scientist,4,0,0.0,0.5,Fast-Track Performers,Medium,4,3
50,Research & Development,Laboratory Technician,3,0,0.0,0.6666666666666666,Fast-Track Performers,Medium,3,3
40,Research & Development,Manager,20,9,0.45,0.4,High-Risk Stagnation Profile,High,3,4
34,Research & Development,Manufacturing Director,10,1,0.1,0.9,High-Risk Stagnation Profile,High,3,4
43,Research & Development,Research Scientist,5,2,0.4,0.8,Fast-Track Performers,Medium,4,4
38,Research & Development,Manufacturing Director,7,1,0.14285714285714285,1.0,High-Risk Stagnation Profile,Medium,4,4
49,Research & Development,Manufacturing Director,7,1,0.14285714285714285,1.0,High-Risk Stagnation Profile,High,4,4
34,Research & Development,Research Scientist,5,2,0.4,0.6,Fast-Track Performers,Medium,3,4
40,Research & Development,Laboratory Technician,7,3,0.42857142857142855,0.2857142857142857,Fast-Track Performers,Medium,4,3
40,Research & Development,Healthcare Representative,3,0,0.0,0.6666666666666666,Fast-Track Performers,Medium,4,4
30,Research & Development,Manufacturing Director,11,5,0.45454545454545453,0.7272727272727273,High-Risk Stagnation Profile,High,3,3
27,Sales,Sales Executive,7,0,0.0,1.0,High-Risk Stagnation Profile,High,3,4
45,Sales,Sales Executive,19,12,0.631578947368421,0.3684210526315789,High-Risk Stagnation Profile,High,4,4
31,Research & Development,Manufacturing Director,5,1,0.2,0.8,Fast-Track Performers,Medium,3,3
35,Sales,Sales Executive,10,0,0.0,0.7,High-Risk Stagnation Profile,Medium,3,3
52,Research & Development,Laboratory Technician,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,3
42,Research & Development,Manager,22,11,0.5,0.7727272727272727,High-Risk Stagnation Profile,High,4,3
43,Sales,Manager,17,1,0.058823529411764705,0.7647058823529411,High-Risk Stagnation Profile,High,4,4
39,Research & Development,Laboratory Technician,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,3,3
32,Sales,Sales Executive,3,2,0.6666666666666666,0.6666666666666666,Promotion-Stalled Employees,High,4,3
45,Research & Development,Manager,24,1,0.041666666666666664,0.0,High-Risk Stagnation Profile,Medium,4,3
33,Research & Development,Research Scientist,2,0,0.0,1.0,Fast-Track Performers,Medium,4,3
39,Research & Development,Healthcare Representative,19,11,0.5789473684210527,0.3157894736842105,High-Risk Stagnation Profile,High,3,3
29,Research & Development,Research Scientist,6,1,0.16666666666666666,0.8333333333333334,Fast-Track Performers,Medium,4,3
29,Sales,Sales Executive,3,0,0.0,0.6666666666666666,Fast-Track Performers,Medium,4,4
51,Research & Development,Research Scientist,1,0,0.0,0.0,Early-Career Explorers,Medium,4,3
38,Sales,Sales Executive,8,7,0.875,0.875,High-Risk Stagnation Profile,High,4,4
45,Research & Development,Healthcare Representative,20,4,0.2,0.35,High-Risk Stagnation Profile,Medium,4,3
36,Research & Development,Laboratory Technician,15,10,0.6666666666666666,0.8666666666666667,High-Risk Stagnation Profile,High,4,4
37,Sales,Sales Executive,5,0,0.0,0.8,Fast-Track Performers,Medium,4,3
21,Research & Development,Research Scientist,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,3,4
37,Research & Development,Research Scientist,17,5,0.29411764705882354,0.7058823529411765,High-Risk Stagnation Profile,High,4,4
38,Research & Development,Healthcare Representative,2,1,0.5,1.0,Promotion-Stalled Employees,High,4,4
18,Sales,Sales Representative,0,0,0.0,0.0,Early-Career Explorers,Medium,3,4
39,Research & Development,Healthcare Representative,18,3,0.16666666666666666,0.5555555555555556,High-Risk Stagnation Profile,Medium,4,3
32,Sales,Sales Executive,13,4,0.3076923076923077,0.6153846153846154,High-Risk Stagnation Profile,High,3,4
31,Research & Development,Research Scientist,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,3
43,Research & Development,Laboratory Technician,8,1,0.125,0.875,High-Risk Stagnation Profile,Medium,4,3
49,Research & Development,Healthcare Representative,7,0,0.0,0.14285714285714285,Fast-Track Performers,Medium,3,3
27,Sales,Sales Executive,5,0,0.0,0.8,Fast-Track Performers,Medium,3,4
31,Sales,Sales Executive,7,1,0.14285714285714285,1.0,High-Risk Stagnation Profile,Medium,4,4
30,Research & Development,Research Scientist,10,1,0.1,0.8,High-Risk Stagnation Profile,High,4,4
31,Research & Development,Manufacturing Director,10,8,0.8,0.9,High-Risk Stagnation Profile,High,3,3
39,Research & Development,Manager,21,13,0.6190476190476191,0.42857142857142855,High-Risk Stagnation Profile,High,4,3
47,Research & Development,Research Director,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,3,4
43,Research & Development,Laboratory Technician,9,0,0.0,0.7777777777777778,Fast-Track Performers,Medium,3,3
54,Research & Development,Research Scientist,4,0,0.0,0.75,Fast-Track Performers,Medium,3,4
45,Research & Development,Research Scientist,10,9,0.9,0.9,High-Risk Stagnation Profile,High,4,4
30,Sales,Sales Executive,10,1,0.1,0.9,High-Risk Stagnation Profile,High,3,4
38,Research & Development,Research Director,11,2,0.18181818181818182,0.9090909090909091,High-Risk Stagnation Profile,High,4,3
31,Research & Development,Manufacturing Director,11,4,0.36363636363636365,0.8181818181818182,High-Risk Stagnation Profile,High,4,3
29,Sales,Sales Executive,4,0,0.0,0.75,Fast-Track Performers,Medium,3,4
42,Human Resources,Human Resources,3,1,0.3333333333333333,0.6666666666666666,Early-Career Explorers,Medium,3,3
30,Sales,Sales Executive,2,2,1.0,1.0,Promotion-Stalled Employees,High,3,4
26,Sales,Sales Executive,8,7,0.875,0.875,High-Risk Stagnation Profile,High,3,3
57,Research & Development,Healthcare Representative,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,3,4
40,Research & Development,Laboratory Technician,7,1,0.14285714285714285,1.0,High-Risk Stagnation Profile,Medium,3,4
50,Research & Development,Healthcare Representative,4,1,0.25,0.75,Fast-Track Performers,Medium,4,4
29,Research & Development,Research Scientist,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,4,4
51,Sales,Sales Executive,7,0,0.0,1.0,High-Risk Stagnation Profile,High,4,3
36,Research & Development,Research Scientist,2,2,1.0,1.0,Promotion-Stalled Employees,High,3,4
34,Sales,Sales Executive,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,3,3
43,Research & Development,Laboratory Technician,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,4,4
52,Research & Development,Manufacturing Director,5,0,0.0,0.8,Fast-Track Performers,Medium,3,4
30,Research & Development,Manufacturing Director,5,0,0.0,0.8,Fast-Track Performers,Medium,4,3
46,Research & Development,Manufacturing Director,10,0,0.0,0.7,High-Risk Stagnation Profile,Medium,3,3
42,Research & Development,Healthcare Representative,6,0,0.0,0.8333333333333334,Fast-Track Performers,Medium,4,4
40,Sales,Manager,20,1,0.05,0.75,High-Risk Stagnation Profile,High,3,3
30,Research & Development,Laboratory Technician,11,6,0.5454545454545454,0.6363636363636364,High-Risk Stagnation Profile,High,4,3
35,Research & Development,Laboratory Technician,5,4,0.8,0.8,Promotion-Stalled Employees,High,3,4
34,Research & Development,Research Scientist,7,5,0.7142857142857143,0.42857142857142855,High-Risk Stagnation Profile,High,3,4
46,Sales,Sales Executive,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,4,3
35,Research & Development,Healthcare Representative,8,0,0.0,0.875,Fast-Track Performers,Medium,3,4
41,Sales,Sales Executive,14,1,0.07142857142857142,0.21428571428571427,High-Risk Stagnation Profile,Medium,4,4
29,Research & Development,Manufacturing Director,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,4,4
31,Sales,Manager,5,0,0.0,0.8,Fast-Track Performers,Medium,4,3
34,Sales,Sales Executive,10,5,0.5,0.7,High-Risk Stagnation Profile,High,4,4
24,Sales,Sales Representative,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
37,Sales,Sales Executive,3,1,0.3333333333333333,0.0,Early-Career Explorers,Medium,3,4
43,Research & Development,Laboratory Technician,8,4,0.5,0.875,High-Risk Stagnation Profile,High,3,4
21,Sales,Sales Representative,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,3,3
44,Research & Development,Manager,2,0,0.0,1.0,Fast-Track Performers,Medium,4,4
26,Research & Development,Laboratory Technician,3,0,0.0,0.6666666666666666,Fast-Track Performers,Medium,4,3
37,Research & Development,Manufacturing Director,10,7,0.7,0.7,High-Risk Stagnation Profile,High,3,3
33,Research & Development,Healthcare Representative,13,4,0.3076923076923077,0.8461538461538461,High-Risk Stagnation Profile,High,4,3
38,Sales,Sales Executive,7,0,0.0,1.0,High-Risk Stagnation Profile,High,4,4
27,Sales,Sales Executive,6,0,0.0,0.8333333333333334,Fast-Track Performers,Medium,4,4
50,Research & Development,Laboratory Technician,20,3,0.15,0.4,High-Risk Stagnation Profile,Medium,3,4
39,Research & Development,Healthcare Representative,20,11,0.55,0.35,High-Risk Stagnation Profile,High,3,4
32,Sales,Sales Executive,10,0,0.0,0.7,High-Risk Stagnation Profile,High,4,4
32,Research & Development,Research Director,7,7,1.0,1.0,High-Risk Stagnation Profile,High,4,3
41,Human Resources,Manager,22,2,0.09090909090909091,0.3181818181818182,High-Risk Stagnation Profile,Medium,3,4
47,Sales,Sales Executive,22,11,0.5,0.09090909090909091,High-Risk Stagnation Profile,High,3,4
30,Sales,Sales Executive,8,7,0.875,0.875,High-Risk Stagnation Profile,High,4,3
43,Sales,Sales Executive,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
40,Research & Development,Research Scientist,4,2,0.5,0.5,Fast-Track Performers,Medium,4,4
53,Research & Development,Laboratory Technician,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
38,Research & Development,Research Scientist,1,0,0.0,0.0,Fast-Track Performers,Medium,3,4
25,Sales,Sales Executive,6,1,0.16666666666666666,0.8333333333333334,Fast-Track Performers,Medium,4,3
34,Sales,Sales Executive,6,1,0.16666666666666666,0.8333333333333334,Fast-Track Performers,Medium,4,4
52,Research & Development,Research Scientist,4,1,0.25,0.75,Fast-Track Performers,Medium,4,4
30,Research & Development,Laboratory Technician,2,0,0.0,1.0,Fast-Track Performers,Medium,3,4
33,Research & Development,Research Director,13,3,0.23076923076923078,0.6923076923076923,High-Risk Stagnation Profile,High,3,3
47,Research & Development,Manager,26,3,0.11538461538461539,0.5384615384615384,High-Risk Stagnation Profile,Medium,4,3
29,Research & Development,Research Scientist,10,0,0.0,0.7,High-Risk Stagnation Profile,Medium,3,3
35,Research & Development,Research Scientist,2,2,1.0,1.0,Promotion-Stalled Employees,High,3,4
42,Research & Development,Manufacturing Director,4,0,0.0,0.75,Fast-Track Performers,Medium,4,4
32,Research & Development,Manufacturing Director,14,6,0.42857142857142855,0.9285714285714286,High-Risk Stagnation Profile,High,3,3
30,Research & Development,Manufacturing Director,0,0,0.0,0.0,Early-Career Explorers,Medium,4,3
27,Research & Development,Research Director,9,0,0.0,0.8888888888888888,High-Risk Stagnation Profile,Medium,4,3
35,Research & Development,Manufacturing Director,8,1,0.125,0.625,High-Risk Stagnation Profile,Medium,3,3
34,Human Resources,Human Resources,3,0,0.0,0.6666666666666666,Fast-Track Performers,Medium,4,3
27,Research & Development,Research Scientist,0,0,0.0,0.0,Early-Career Explorers,Medium,4,4
22,Research & Development,Manufacturing Director,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
35,Research & Development,Manufacturing Director,17,5,0.29411764705882354,0.8235294117647058,High-Risk Stagnation Profile,High,3,4
42,Research & Development,Laboratory Technician,5,1,0.2,0.6,Fast-Track Performers,Medium,4,3
31,Research & Development,Research Scientist,6,0,0.0,0.6666666666666666,Fast-Track Performers,Medium,4,4
37,Sales,Sales Representative,5,0,0.0,0.8,Fast-Track Performers,Medium,4,3
43,Research & Development,Healthcare Representative,5,2,0.4,0.4,Fast-Track Performers,Medium,4,4
47,Sales,Sales Executive,7,7,1.0,0.8571428571428571,High-Risk Stagnation Profile,High,4,3
39,Human Resources,Human Resources,5,0,0.0,0.8,Fast-Track Performers,Medium,4,4
36,Research & Development,Healthcare Representative,16,4,0.25,0.5,High-Risk Stagnation Profile,Medium,4,3
47,Sales,Sales Representative,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,4,4
28,Research & Development,Research Scientist,2,2,1.0,1.0,Promotion-Stalled Employees,High,3,3
42,Sales,Sales Executive,5,0,0.0,0.8,Fast-Track Performers,Medium,3,3
35,Research & Development,Healthcare Representative,10,0,0.0,0.6,High-Risk Stagnation Profile,Medium,4,4
48,Research & Development,Research Scientist,0,0,0.0,0.0,Early-Career Explorers,Medium,3,4
31,Sales,Sales Executive,9,0,0.0,0.8888888888888888,Fast-Track Performers,Medium,3,4
36,Research & Development,Laboratory Technician,11,3,0.2727272727272727,0.7272727272727273,High-Risk Stagnation Profile,High,3,3
31,Research & Development,Healthcare Representative,9,8,0.8888888888888888,0.7777777777777778,High-Risk Stagnation Profile,High,4,4
52,Research & Development,Manager,9,7,0.7777777777777778,0.8888888888888888,High-Risk Stagnation Profile,High,4,4
53,Sales,Manager,17,15,0.8823529411764706,0.7647058823529411,High-Risk Stagnation Profile,High,3,3
30,Sales,Sales Executive,8,7,0.875,0.5,High-Risk Stagnation Profile,High,3,3
38,Sales,Sales Executive,5,1,0.2,0.6,Fast-Track Performers,Medium,4,3
35,Sales,Sales Executive,10,0,0.0,0.9,High-Risk Stagnation Profile,High,4,4
47,Research & Development,Manufacturing Director,19,2,0.10526315789473684,0.5263157894736842,High-Risk Stagnation Profile,Medium,3,3
33,Sales,Manager,10,6,0.6,0.8,High-Risk Stagnation Profile,High,3,4
47,Sales,Sales Executive,9,0,0.0,0.0,Fast-Track Performers,Medium,4,4
50,Research & Development,Manufacturing Director,12,1,0.08333333333333333,0.9166666666666666,High-Risk Stagnation Profile,High,3,4
38,Research & Development,Research Scientist,2,0,0.0,0.5,Fast-Track Performers,Medium,3,3
46,Research & Development,Manufacturing Director,8,0,0.0,0.875,High-Risk Stagnation Profile,Medium,3,4
24,Research & Development,Manufacturing Director,4,3,0.75,0.5,Promotion-Stalled Employees,High,3,4
54,Research & Development,Manufacturing Director,10,0,0.0,0.7,High-Risk Stagnation Profile,High,3,3
35,Research & Development,Healthcare Representative,16,10,0.625,0.625,High-Risk Stagnation Profile,High,3,3
26,Research & Development,Manufacturing Director,8,1,0.125,0.875,Fast-Track Performers,Medium,4,4
48,Research & Development,Healthcare Representative,15,4,0.26666666666666666,0.7333333333333333,High-Risk Stagnation Profile,High,3,3
41,Research & Development,Manufacturing Director,2,2,1.0,1.0,Promotion-Stalled Employees,High,3,4
39,Research & Development,Manufacturing Director,21,11,0.5238095238095238,0.2857142857142857,High-Risk Stagnation Profile,High,4,4
44,Sales,Sales Executive,12,11,0.9166666666666666,0.9166666666666666,High-Risk Stagnation Profile,High,4,4
50,Sales,Sales Executive,18,0,0.0,0.3888888888888889,High-Risk Stagnation Profile,Medium,3,4
32,Research & Development,Laboratory Technician,8,7,0.875,0.875,High-Risk Stagnation Profile,High,3,4
34,Sales,Sales Representative,1,0,0.0,1.0,Fast-Track Performers,Medium,3,3
38,Research & Development,Research Scientist,2,2,1.0,1.0,Promotion-Stalled Employees,High,3,3
46,Research & Development,Research Director,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
54,Sales,Sales Executive,9,7,0.7777777777777778,0.4444444444444444,High-Risk Stagnation Profile,High,3,3
36,Research & Development,Manufacturing Director,14,7,0.5,0.5714285714285714,High-Risk Stagnation Profile,High,4,4
38,Research & Development,Healthcare Representative,19,1,0.05263157894736842,0.47368421052631576,High-Risk Stagnation Profile,Medium,3,3
28,Research & Development,Research Scientist,8,1,0.125,0.875,High-Risk Stagnation Profile,Medium,3,3
33,Research & Development,Healthcare Representative,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,4,4
34,Research & Development,Research Scientist,0,0,0.0,0.0,Early-Career Explorers,Medium,4,3
38,Sales,Sales Executive,8,2,0.25,0.875,High-Risk Stagnation Profile,High,3,3
29,Research & Development,Research Scientist,7,1,0.14285714285714285,0.7142857142857143,High-Risk Stagnation Profile,High,4,3
40,Research & Development,Research Director,20,4,0.2,0.35,High-Risk Stagnation Profile,Medium,3,3
31,Sales,Sales Representative,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,3
34,Research & Development,Manufacturing Director,3,0,0.0,0.6666666666666666,Fast-Track Performers,Medium,3,4
38,Human Resources,Human Resources,7,5,0.7142857142857143,0.8571428571428571,Fast-Track Performers,High,3,3
27,Research & Development,Research Scientist,4,2,0.5,0.5,Fast-Track Performers,Medium,3,4
35,Human Resources,Human Resources,5,1,0.2,0.8,Fast-Track Performers,Medium,3,3
35,Research & Development,Laboratory Technician,8,1,0.125,0.0,Fast-Track Performers,Medium,3,4
40,Research & Development,Research Scientist,1,0,0.0,1.0,Early-Career Explorers,Medium,4,3
35,Research & Development,Laboratory Technician,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
37,Research & Development,Manufacturing Director,14,3,0.21428571428571427,0.5714285714285714,High-Risk Stagnation Profile,Medium,4,4
53,Research & Development,Manager,7,4,0.5714285714285714,1.0,High-Risk Stagnation Profile,High,3,4
44,Research & Development,Research Scientist,0,0,0.0,0.0,Early-Career Explorers,Medium,3,4
36,Research & Development,Laboratory Technician,7,1,0.14285714285714285,1.0,High-Risk Stagnation Profile,Medium,3,3
30,Research & Development,Laboratory Technician,10,8,0.8,0.7,High-Risk Stagnation Profile,High,3,3
44,Research & Development,Research Scientist,20,13,0.65,0.55,High-Risk Stagnation Profile,High,4,4
20,Sales,Sales Representative,2,2,1.0,0.5,Promotion-Stalled Employees,High,4,3
32,Research & Development,Research Scientist,8,0,0.0,0.875,High-Risk Stagnation Profile,High,3,4
25,Sales,Sales Executive,4,1,0.25,0.75,Fast-Track Performers,Medium,4,3
35,Sales,Sales Executive,13,4,0.3076923076923077,0.15384615384615385,High-Risk Stagnation Profile,Medium,4,3
43,Research & Development,Research Director,8,0,0.0,0.875,High-Risk Stagnation Profile,High,4,3
29,Research & Development,Research Director,7,1,0.14285714285714285,1.0,High-Risk Stagnation Profile,High,4,4
33,Sales,Sales Executive,9,0,0.0,0.8888888888888888,High-Risk Stagnation Profile,Medium,3,4
26,Research & Development,Research Scientist,8,2,0.25,0.625,Fast-Track Performers,Medium,4,3
59,Research & Development,Manufacturing Director,9,5,0.5555555555555556,0.7777777777777778,High-Risk Stagnation Profile,High,4,4
35,Research & Development,Research Scientist,3,2,0.6666666666666666,0.6666666666666666,Promotion-Stalled Employees,High,3,3
43,Sales,Sales Executive,21,15,0.7142857142857143,0.3333333333333333,High-Risk Stagnation Profile,High,4,4
28,Research & Development,Laboratory Technician,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
30,Research & Development,Manufacturing Director,8,1,0.125,0.5,High-Risk Stagnation Profile,Medium,3,3
32,Sales,Sales Executive,10,0,0.0,0.7,High-Risk Stagnation Profile,Medium,4,3
36,Research & Development,Healthcare Representative,7,1,0.14285714285714285,1.0,High-Risk Stagnation Profile,High,3,4
28,Research & Development,Laboratory Technician,9,7,0.7777777777777778,0.8888888888888888,High-Risk Stagnation Profile,High,4,3
31,Sales,Sales Executive,10,9,0.9,0.8,High-Risk Stagnation Profile,High,3,4
42,Research & Development,Manager,20,2,0.1,0.4,High-Risk Stagnation Profile,Medium,3,3
55,Research & Development,Manager,19,9,0.47368421052631576,0.47368421052631576,High-Risk Stagnation Profile,High,3,4
40,Research & Development,Research Scientist,4,0,0.0,0.5,Fast-Track Performers,Medium,3,3
34,Research & Development,Healthcare Representative,9,1,0.1111111111111111,0.7777777777777778,High-Risk Stagnation Profile,High,4,4
40,Research & Development,Research Scientist,9,8,0.8888888888888888,0.8888888888888888,High-Risk Stagnation Profile,High,4,3
35,Research & Development,Research Scientist,9,1,0.1111111111111111,0.6666666666666666,Fast-Track Performers,Medium,3,3
25,Research & Development,Laboratory Technician,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,4,4
48,Research & Development,Manufacturing Director,10,0,0.0,0.9,High-Risk Stagnation Profile,High,4,4
18,Research & Development,Laboratory Technician,0,0,0.0,0.0,Early-Career Explorers,Medium,4,4
35,Research & Development,Laboratory Technician,9,0,0.0,0.7777777777777778,Fast-Track Performers,Medium,4,4
34,Research & Development,Healthcare Representative,14,4,0.2857142857142857,0.7857142857142857,High-Risk Stagnation Profile,High,4,3
41,Research & Development,Research Scientist,6,3,0.5,0.3333333333333333,Fast-Track Performers,Medium,4,4
37,Research & Development,Research Scientist,6,1,0.16666666666666666,0.6666666666666666,Fast-Track Performers,Medium,3,3
39,Research & Development,Healthcare Representative,6,0,0.0,0.6666666666666666,Fast-Track Performers,Medium,3,3
27,Sales,Sales Executive,6,4,0.6666666666666666,0.3333333333333333,Fast-Track Performers,Medium,4,4
35,Research & Development,Manufacturing Director,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,3
37,Research & Development,Laboratory Technician,6,1,0.16666666666666666,0.8333333333333334,Fast-Track Performers,Medium,3,3
24,Sales,Sales Executive,5,0,0.0,0.8,Fast-Track Performers,Medium,3,4
32,Sales,Sales Executive,4,0,0.0,0.75,Fast-Track Performers,Medium,4,4
40,Research & Development,Laboratory Technician,8,0,0.0,0.875,High-Risk Stagnation Profile,High,3,3
40,Research & Development,Research Scientist,3,1,0.3333333333333333,0.3333333333333333,Fast-Track Performers,Medium,3,3
30,Sales,Sales Executive,2,2,1.0,0.5,Promotion-Stalled Employees,High,3,4
29,Sales,Sales Executive,10,0,0.0,0.7,High-Risk Stagnation Profile,Medium,3,3
55,Research & Development,Healthcare Representative,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,3,4
47,Sales,Sales Executive,5,1,0.2,0.8,Fast-Track Performers,Medium,3,3
33,Research & Development,Healthcare Representative,0,0,0.0,0.0,Early-Career Explorers,Medium,3,4
34,Sales,Sales Executive,10,8,0.8,0.9,High-Risk Stagnation Profile,High,3,4
45,Research & Development,Research Scientist,5,0,0.0,0.8,Fast-Track Performers,Medium,4,4
42,Research & Development,Healthcare Representative,20,13,0.65,0.4,High-Risk Stagnation Profile,High,4,4
40,Human Resources,Manager,21,7,0.3333333333333333,0.3333333333333333,High-Risk Stagnation Profile,High,4,3
40,Research & Development,Healthcare Representative,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
36,Sales,Sales Representative,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,4,3
48,Sales,Sales Executive,8,7,0.875,0.875,High-Risk Stagnation Profile,High,3,3
39,Sales,Sales Executive,7,7,1.0,0.8571428571428571,High-Risk Stagnation Profile,High,3,4
23,Research & Development,Research Scientist,2,2,1.0,1.0,Promotion-Stalled Employees,High,3,4
34,Research & Development,Healthcare Representative,8,7,0.875,0.25,High-Risk Stagnation Profile,High,3,4
36,Research & Development,Manufacturing Director,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,3,3
34,Research & Development,Manufacturing Director,9,7,0.7777777777777778,0.7777777777777778,High-Risk Stagnation Profile,High,4,3
21,Research & Development,Research Scientist,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,3
39,Research & Development,Laboratory Technician,10,0,0.0,0.8,High-Risk Stagnation Profile,Medium,3,3
35,Research & Development,Healthcare Representative,14,2,0.14285714285714285,0.7857142857142857,High-Risk Stagnation Profile,Medium,3,3
37,Research & Development,Manufacturing Director,4,0,0.0,0.75,Fast-Track Performers,Medium,3,3
