EmployeeID,Age,Department,JobRole,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TrainingTimesLastYear,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,Cluster,CareerPathSegment,PromotionGapRiskScore,Attrition,JobSatisfaction,EnvironmentSatisfaction
79,35,Research & Development,Research Scientist,6,4,0,3,4,0.0,0.6666666666666666,0.5,0.6666666666666666,3,Fast-Track Performers,Medium,0,3,2
80,55,Sales,Sales Executive,1,0,1,4,0,1.0,0.0,4.0,0.0,1,Early-Career Explorers,Medium,0,4,1
81,38,Research & Development,Research Scientist,13,11,1,3,9,0.07692307692307693,0.8461538461538461,0.23076923076923078,0.6923076923076923,2,High-Risk Stagnation Profile,High,0,4,2
82,34,Research & Development,Manufacturing Director,5,2,1,2,3,0.2,0.4,0.4,0.6,3,Fast-Track Performers,Low,0,2,1
83,23,Sales,Sales Representative,0,0,0,3,0,0.0,0.0,0.0,0.0,1,Early-Career Explorers,Medium,0,1,3
84,51,Research & Development,Laboratory Technician,4,2,0,4,3,0.0,0.5,1.0,0.75,3,Fast-Track Performers,Low,0,4,4
85,30,Research & Development,Healthcare Representative,11,10,10,3,8,0.9090909090909091,0.9090909090909091,0.2727272727272727,0.7272727272727273,0,High-Risk Stagnation Profile,High,0,4,3
86,46,Sales,Sales Executive,9,8,4,3,7,0.4444444444444444,0.8888888888888888,0.3333333333333333,0.7777777777777778,2,High-Risk Stagnation Profile,High,1,4,3
87,40,Research & Development,Healthcare Representative,22,3,11,3,11,0.5,0.13636363636363635,0.13636363636363635,0.5,0,High-Risk Stagnation Profile,High,0,2,3
88,51,Sales,Sales Executive,10,7,1,2,0,0.1,0.7,0.2,0.0,3,Fast-Track Performers,Medium,0,4,3
89,30,Sales,Sales Executive,11,8,2,4,7,0.18181818181818182,0.7272727272727273,0.36363636363636365,0.6363636363636364,2,High-Risk Stagnation Profile,Medium,0,2,3
90,46,Research & Development,Healthcare Representative,10,9,9,5,5,0.9,0.9,0.5,0.5,0,High-Risk Stagnation Profile,High,0,1,3
91,32,Sales,Sales Executive,11,8,5,0,7,0.45454545454545453,0.7272727272727273,0.0,0.6363636363636364,0,High-Risk Stagnation Profile,High,0,3,2
92,54,Research & Development,Research Director,4,3,0,5,3,0.0,0.75,1.25,0.75,3,Fast-Track Performers,Medium,0,3,1
93,24,Sales,Sales Executive,3,2,0,2,2,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,Fast-Track Performers,Medium,0,3,1
94,28,Sales,Sales Executive,5,4,0,3,4,0.0,0.8,0.6,0.8,3,Fast-Track Performers,Medium,0,3,2
95,44,Research & Development,Laboratory Technician,3,2,1,3,2,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,3,Fast-Track Performers,Medium,0,2,2
96,37,Human Resources,Human Resources,3,2,0,3,2,0.0,0.6666666666666666,1.0,0.6666666666666666,3,Fast-Track Performers,Medium,1,1,3
97,32,Research & Development,Research Scientist,1,0,0,2,0,0.0,0.0,2.0,0.0,1,Early-Career Explorers,Low,0,1,4
98,20,Research & Development,Laboratory Technician,1,0,1,5,0,1.0,0.0,5.0,0.0,1,Early-Career Explorers,Medium,1,4,4
99,34,Research & Development,Research Scientist,16,13,2,3,10,0.125,0.8125,0.1875,0.625,2,High-Risk Stagnation Profile,High,0,3,1
100,37,Research & Development,Healthcare Representative,1,0,0,2,0,0.0,0.0,2.0,0.0,1,Early-Career Explorers,Low,0,4,3
101,50,Research & Development,Research Director,8,3,0,1,7,0.0,0.375,0.125,0.875,3,Fast-Track Performers,Medium,0,2,1
102,25,Sales,Sales Executive,6,4,0,1,3,0.0,0.6666666666666666,0.16666666666666666,0.5,3,Fast-Track Performers,Medium,1,3,3
103,25,Research & Development,Research Scientist,2,2,2,2,1,1.0,1.0,1.0,0.5,4,Promotion-Stalled Employees,High,0,4,4
104,22,Research & Development,Laboratory Technician,0,0,0,5,0,0.0,0.0,0.0,0.0,1,Early-Career Explorers,Medium,0,4,2
105,51,Research & Development,Healthcare Representative,13,12,12,1,8,0.9230769230769231,0.9230769230769231,0.07692307692307693,0.6153846153846154,0,High-Risk Stagnation Profile,High,0,1,1
106,34,Research & Development,Laboratory Technician,9,7,0,3,6,0.0,0.7777777777777778,0.3333333333333333,0.6666666666666666,2,High-Risk Stagnation Profile,Medium,1,3,1
107,54,Human Resources,Manager,5,3,4,3,4,0.8,0.6,0.6,0.8,4,Promotion-Stalled Employees,High,0,4,4
108,24,Research & Development,Laboratory Technician,5,3,1,2,2,0.2,0.6,0.4,0.4,3,Fast-Track Performers,Low,0,3,2
109,34,Research & Development,Research Scientist,1,0,0,3,0,0.0,0.0,3.0,0.0,1,Early-Career Explorers,Low,0,2,3
110,37,Sales,Sales Executive,5,3,1,3,3,0.2,0.6,0.6,0.6,3,Fast-Track Performers,Low,0,4,3
111,34,Research & Development,Manager,11,10,5,6,8,0.45454545454545453,0.9090909090909091,0.5454545454545454,0.7272727272727273,2,High-Risk Stagnation Profile,High,0,1,3
112,36,Sales,Sales Executive,9,7,2,6,8,0.2222222222222222,0.7777777777777778,0.6666666666666666,0.8888888888888888,2,High-Risk Stagnation Profile,Medium,0,4,2
113,36,Research & Development,Laboratory Technician,1,0,0,2,0,0.0,0.0,2.0,0.0,1,Early-Career Explorers,Low,0,4,1
114,43,Sales,Manager,25,12,4,3,12,0.16,0.48,0.12,0.48,2,High-Risk Stagnation Profile,Medium,0,4,3
115,30,Research & Development,Research Scientist,10,7,0,2,9,0.0,0.7,0.2,0.9,2,High-Risk Stagnation Profile,High,0,3,1
116,33,Sales,Sales Executive,7,7,0,2,7,0.0,1.0,0.2857142857142857,1.0,2,High-Risk Stagnation Profile,High,0,2,3
117,56,Research & Development,Research Scientist,5,4,4,2,3,0.8,0.8,0.4,0.6,4,Promotion-Stalled Employees,High,1,2,2
118,51,Research & Development,Research Director,20,18,15,5,15,0.75,0.9,0.25,0.75,0,High-Risk Stagnation Profile,High,0,3,1
119,31,Sales,Sales Executive,7,7,7,3,7,1.0,1.0,0.42857142857142855,1.0,0,High-Risk Stagnation Profile,High,1,3,2
120,26,Research & Development,Research Scientist,5,4,4,3,3,0.8,0.8,0.6,0.6,4,Promotion-Stalled Employees,High,0,2,3
121,19,Sales,Sales Representative,0,0,0,2,0,0.0,0.0,0.0,0.0,1,Early-Career Explorers,Medium,1,3,4
122,22,Research & Development,Laboratory Technician,2,1,2,2,1,1.0,0.5,1.0,0.5,4,Promotion-Stalled Employees,High,0,4,3
123,49,Research & Development,Manufacturing Director,15,11,5,2,11,0.3333333333333333,0.7333333333333333,0.13333333333333333,0.7333333333333333,2,High-Risk Stagnation Profile,High,0,1,3
124,43,Research & Development,Research Scientist,3,2,1,2,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,Fast-Track Performers,Medium,0,3,2
125,50,Sales,Sales Executive,2,2,2,3,1,1.0,1.0,1.5,0.5,4,Promotion-Stalled Employees,High,0,4,3
126,31,Sales,Sales Executive,2,2,2,2,2,1.0,1.0,1.0,1.0,4,Promotion-Stalled Employees,High,1,3,2
127,41,Sales,Sales Executive,9,7,0,2,7,0.0,0.7777777777777778,0.2222222222222222,0.7777777777777778,2,High-Risk Stagnation Profile,High,0,3,3
128,26,Human Resources,Human Resources,8,7,5,3,7,0.625,0.875,0.375,0.875,0,High-Risk Stagnation Profile,High,0,3,3
129,36,Research & Development,Manufacturing Director,3,2,0,0,1,0.0,0.6666666666666666,0.0,0.3333333333333333,3,Fast-Track Performers,Medium,0,2,2
130,51,Research & Development,Manufacturing Director,4,2,0,2,3,0.0,0.5,0.5,0.75,3,Fast-Track Performers,Low,1,4,1
131,39,Sales,Sales Executive,15,11,5,1,9,0.3333333333333333,0.7333333333333333,0.06666666666666667,0.6,2,High-Risk Stagnation Profile,High,0,3,4
132,25,Sales,Sales Executive,2,2,2,3,2,1.0,1.0,1.5,1.0,4,Promotion-Stalled Employees,High,0,3,1
133,30,Human Resources,Human Resources,11,9,4,2,7,0.36363636363636365,0.8181818181818182,0.18181818181818182,0.6363636363636364,2,High-Risk Stagnation Profile,High,0,4,3
134,32,Research & Development,Laboratory Technician,5,4,0,2,4,0.0,0.8,0.4,0.8,3,Fast-Track Performers,Medium,1,1,1
135,45,Research & Development,Research Scientist,6,5,0,2,3,0.0,0.8333333333333334,0.3333333333333333,0.5,3,Fast-Track Performers,Medium,0,4,3
136,38,Research & Development,Research Scientist,3,2,2,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,Promotion-Stalled Employees,High,0,3,4
137,30,Research & Development,Research Scientist,5,4,0,4,4,0.0,0.8,0.8,0.8,3,Fast-Track Performers,Medium,0,3,1
138,32,Sales,Sales Executive,8,7,0,2,7,0.0,0.875,0.25,0.875,2,High-Risk Stagnation Profile,High,0,4,4
139,30,Research & Development,Research Scientist,3,2,2,3,2,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,4,Promotion-Stalled Employees,High,0,1,4
140,30,Research & Development,Laboratory Technician,5,3,1,3,2,0.2,0.6,0.6,0.4,3,Fast-Track Performers,Low,0,4,2
141,41,Research & Development,Manager,7,6,7,2,7,1.0,0.8571428571428571,0.2857142857142857,1.0,0,High-Risk Stagnation Profile,High,0,1,4
142,41,Research & Development,Laboratory Technician,5,0,1,2,4,0.2,0.0,0.4,0.8,3,Fast-Track Performers,Low,0,1,3
143,19,Research & Development,Laboratory Technician,1,0,0,3,0,0.0,0.0,3.0,0.0,1,Early-Career Explorers,Low,0,2,2
144,40,Research & Development,Research Scientist,20,7,2,2,13,0.1,0.35,0.1,0.65,2,High-Risk Stagnation Profile,Medium,0,2,2
145,35,Sales,Sales Executive,10,8,0,3,6,0.0,0.8,0.3,0.6,2,High-Risk Stagnation Profile,Medium,0,2,3
146,53,Sales,Sales Representative,7,7,4,3,5,0.5714285714285714,1.0,0.42857142857142855,0.7142857142857143,2,High-Risk Stagnation Profile,High,0,3,2
147,45,Research & Development,Laboratory Technician,17,9,0,2,15,0.0,0.5294117647058824,0.11764705882352941,0.8823529411764706,2,High-Risk Stagnation Profile,Medium,0,2,2
148,32,Sales,Sales Executive,9,8,3,2,7,0.3333333333333333,0.8888888888888888,0.2222222222222222,0.7777777777777778,2,High-Risk Stagnation Profile,High,0,4,2
149,29,Research & Development,Manufacturing Director,10,7,0,1,9,0.0,0.7,0.1,0.9,2,High-Risk Stagnation Profile,High,0,3,4
150,51,Research & Development,Manufacturing Director,1,0,0,2,0,0.0,0.0,2.0,0.0,1,Early-Career Explorers,Low,0,3,2
151,58,Research & Development,Research Scientist,1,0,0,3,0,0.0,0.0,3.0,0.0,1,Early-Career Explorers,Low,0,2,2
152,40,Sales,Sales Executive,12,11,2,2,11,0.16666666666666666,0.9166666666666666,0.16666666666666666,0.9166666666666666,2,High-Risk Stagnation Profile,High,0,4,3
153,34,Sales,Sales Representative,4,3,1,3,2,0.25,0.75,0.75,0.5,3,Fast-Track Performers,Medium,0,3,3
154,22,Research & Development,Research Scientist,2,2,2,6,2,1.0,1.0,3.0,1.0,4,Promotion-Stalled Employees,High,0,4,3
155,27,Research & Development,Research Scientist,2,2,2,1,2,1.0,1.0,0.5,1.0,4,Promotion-Stalled Employees,High,0,2,4
156,28,Research & Development,Research Scientist,5,2,0,2,2,0.0,0.4,0.4,0.4,3,Fast-Track Performers,Low,0,4,3
157,57,Research & Development,Healthcare Representative,5,3,1,2,4,0.2,0.6,0.4,0.8,3,Fast-Track Performers,Low,0,4,3
158,27,Research & Development,Research Scientist,1,1,0,2,1,0.0,1.0,2.0,1.0,3,Fast-Track Performers,Medium,0,3,3
159,50,Research & Development,Manager,5,4,4,5,4,0.8,0.8,1.0,0.8,4,Promotion-Stalled Employees,High,0,2,3
160,41,Research & Development,Research Scientist,9,8,1,2,8,0.1111111111111111,0.8888888888888888,0.2222222222222222,0.8888888888888888,2,High-Risk Stagnation Profile,High,0,3,1
161,30,Sales,Sales Executive,10,9,7,2,4,0.7,0.9,0.2,0.4,0,High-Risk Stagnation Profile,High,0,4,2
162,38,Sales,Sales Executive,8,3,0,2,7,0.0,0.375,0.25,0.875,3,Fast-Track Performers,Medium,0,4,1
163,32,Research & Development,Research Scientist,5,4,1,2,4,0.2,0.8,0.4,0.8,3,Fast-Track Performers,Medium,0,3,3
164,27,Research & Development,Research Scientist,5,2,1,3,1,0.2,0.4,0.6,0.2,3,Fast-Track Performers,Low,0,2,3
165,19,Sales,Sales Representative,0,0,0,5,0,0.0,0.0,0.0,0.0,1,Early-Career Explorers,Medium,1,1,3
166,36,Research & Development,Laboratory Technician,8,7,7,3,2,0.875,0.875,0.375,0.25,0,High-Risk Stagnation Profile,High,0,2,4
167,30,Research & Development,Laboratory Technician,12,9,6,4,10,0.5,0.75,0.3333333333333333,0.8333333333333334,0,High-Risk Stagnation Profile,High,0,1,3
168,45,Sales,Sales Executive,5,4,0,3,3,0.0,0.8,0.6,0.6,3,Fast-Track Performers,Medium,0,1,3
169,56,Research & Development,Research Scientist,2,2,2,3,2,1.0,1.0,1.5,1.0,4,Promotion-Stalled Employees,High,0,1,3
170,33,Research & Development,Research Scientist,3,1,0,2,2,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,Fast-Track Performers,Low,0,4,3
171,19,Research & Development,Laboratory Technician,1,0,1,3,0,1.0,0.0,3.0,0.0,1,Early-Career Explorers,Medium,1,4,2
172,46,Sales,Sales Executive,24,13,15,2,7,0.625,0.5416666666666666,0.08333333333333333,0.2916666666666667,0,High-Risk Stagnation Profile,High,0,1,2
173,38,Research & Development,Laboratory Technician,2,2,2,3,1,1.0,1.0,1.5,0.5,4,Promotion-Stalled Employees,High,0,4,3
174,31,Research & Development,Research Scientist,4,2,0,0,2,0.0,0.5,0.0,0.5,3,Fast-Track Performers,Medium,0,4,3
175,34,Research & Development,Research Scientist,3,2,1,3,2,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,3,Fast-Track Performers,Medium,0,2,4
176,41,Sales,Sales Representative,4,3,0,5,2,0.0,0.75,1.25,0.5,3,Fast-Track Performers,Medium,1,2,2
177,50,Research & Development,Laboratory Technician,3,2,0,2,2,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,Fast-Track Performers,Medium,0,3,3
178,53,Research & Development,Manufacturing Director,4,2,1,3,3,0.25,0.5,0.75,0.75,3,Fast-Track Performers,Low,0,1,4
179,33,Research & Development,Research Scientist,8,7,1,5,6,0.125,0.875,0.625,0.75,2,High-Risk Stagnation Profile,Medium,0,2,4
180,40,Research & Development,Manager,20,8,9,2,9,0.45,0.4,0.1,0.45,0,High-Risk Stagnation Profile,High,0,3,4
181,34,Research & Development,Manufacturing Director,10,9,1,2,9,0.1,0.9,0.2,0.9,2,High-Risk Stagnation Profile,High,0,3,4
182,51,Research & Development,Healthcare Representative,7,7,1,6,0,0.14285714285714285,1.0,0.8571428571428571,0.0,3,Fast-Track Performers,Medium,0,2,4
183,27,Research & Development,Research Scientist,7,7,0,2,3,0.0,1.0,0.2857142857142857,0.42857142857142855,3,Fast-Track Performers,Medium,0,2,4
184,35,Research & Development,Manufacturing Director,1,0,0,1,1,0.0,0.0,1.0,1.0,3,Fast-Track Performers,Low,1,3,2
185,43,Research & Development,Research Scientist,5,4,2,3,2,0.4,0.8,0.6,0.4,3,Fast-Track Performers,Medium,0,4,4
186,45,Research & Development,Manager,20,8,11,1,8,0.55,0.4,0.05,0.4,0,High-Risk Stagnation Profile,High,0,4,1
187,37,Research & Development,Research Scientist,8,7,1,3,7,0.125,0.875,0.375,0.875,2,High-Risk Stagnation Profile,Medium,0,1,2
188,35,Research & Development,Laboratory Technician,6,2,1,5,2,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.3333333333333333,3,Fast-Track Performers,Low,0,2,2
189,42,Research & Development,Manufacturing Director,5,3,0,5,2,0.0,0.6,1.0,0.4,3,Fast-Track Performers,Low,0,3,3
190,38,Research & Development,Manufacturing Director,1,0,0,3,0,0.0,0.0,3.0,0.0,1,Early-Career Explorers,Low,0,3,4
